Name,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
tokens,0,0.00%,308,0.00%,0,0.00%,1x77,1x77
Reshape_113,0,0.00%,316,0.00%,2,0.00%,1x77,1x77
Gather_114,0,0.00%,152017920,22.58%,37945344,30.82%,49408x768,1x77x768
Gather_115,0,0.00%,473396,0.07%,59213,0.05%,77x768,1x77x768
Add_116,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_117,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_118,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_120,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_121,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_123,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_124,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_125,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_126,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_127,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_128,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_129,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Mul_131,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
MatMul_132,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_133,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_134,0,0.00%,236560,0.04%,4,0.00%,1x77x768,1x77x12x64
Transpose_135,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
MatMul_136,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_137,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_138,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_139,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_140,0,0.00%,236560,0.04%,4,0.00%,1x77x768,1x77x12x64
Transpose_141,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_142,0,0.00%,236556,0.04%,3,0.00%,1x12x77x64,12x77x64
Reshape_143,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Reshape_144,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Transpose_145,0,0.00%,236544,0.04%,0,0.00%,12x77x64,12x64x77
MatMul_146,4553472,0.07%,284592,0.04%,0,0.00%,12x77x64,12x77x77
Reshape_147,0,0.00%,284608,0.04%,4,0.00%,12x77x77,1x12x77x77
Add_149,71148,0.00%,308308,0.05%,5929,0.00%,1x12x77x77,1x12x77x77
Reshape_150,0,0.00%,284604,0.04%,3,0.00%,1x12x77x77,12x77x77
Softmax_151,1280664,0.02%,284592,0.04%,0,0.00%,12x77x77,12x77x77
MatMul_152,4553472,0.07%,236544,0.04%,0,0.00%,12x77x77,12x77x64
Reshape_153,0,0.00%,236560,0.04%,4,0.00%,12x77x64,1x12x77x64
Transpose_154,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,1x77x12x64
Reshape_155,0,0.00%,236556,0.04%,3,0.00%,1x77x12x64,1x77x768
MatMul_156,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_157,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_158,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_159,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_160,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_162,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_163,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_165,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_166,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_167,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_168,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_169,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_170,181665792,2.68%,10383360,1.54%,2359296,1.92%,1x77x768,1x77x3072
Add_171,236544,0.00%,958464,0.14%,3072,0.00%,3072,1x77x3072
Mul_173,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Sigmoid_174,3784704,0.06%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Mul_175,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
MatMul_176,181665792,2.68%,9673728,1.44%,2359296,1.92%,1x77x3072,1x77x768
Add_177,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_178,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_179,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_180,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_182,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_183,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_185,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_186,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_187,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_188,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_189,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_190,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_191,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Mul_193,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
MatMul_194,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_195,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_196,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_197,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
MatMul_198,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_199,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_200,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_201,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_202,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_203,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_204,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Reshape_205,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Reshape_206,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Transpose_207,0,0.00%,236544,0.04%,0,0.00%,12x77x64,12x64x77
MatMul_208,4553472,0.07%,284592,0.04%,0,0.00%,12x77x64,12x77x77
Reshape_209,0,0.00%,284592,0.04%,0,0.00%,12x77x77,1x12x77x77
Add_211,71148,0.00%,308308,0.05%,5929,0.00%,1x12x77x77,1x12x77x77
Reshape_212,0,0.00%,284592,0.04%,0,0.00%,1x12x77x77,12x77x77
Softmax_213,1280664,0.02%,284592,0.04%,0,0.00%,12x77x77,12x77x77
MatMul_214,4553472,0.07%,236544,0.04%,0,0.00%,12x77x77,12x77x64
Reshape_215,0,0.00%,236544,0.04%,0,0.00%,12x77x64,1x12x77x64
Transpose_216,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,1x77x12x64
Reshape_217,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x77x768
MatMul_218,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_219,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_220,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_221,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_222,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_224,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_225,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_227,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_228,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_229,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_230,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_231,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_232,181665792,2.68%,10383360,1.54%,2359296,1.92%,1x77x768,1x77x3072
Add_233,236544,0.00%,958464,0.14%,3072,0.00%,3072,1x77x3072
Mul_235,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Sigmoid_236,3784704,0.06%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Mul_237,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
MatMul_238,181665792,2.68%,9673728,1.44%,2359296,1.92%,1x77x3072,1x77x768
Add_239,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_240,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_241,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_242,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_244,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_245,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_247,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_248,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_249,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_250,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_251,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_252,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_253,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Mul_255,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
MatMul_256,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_257,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_258,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_259,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
MatMul_260,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_261,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Reshape_262,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_263,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_264,0,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x12x64
Transpose_265,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x12x77x64
Reshape_266,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Reshape_267,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Reshape_268,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,12x77x64
Transpose_269,0,0.00%,236544,0.04%,0,0.00%,12x77x64,12x64x77
MatMul_270,4553472,0.07%,284592,0.04%,0,0.00%,12x77x64,12x77x77
Reshape_271,0,0.00%,284592,0.04%,0,0.00%,12x77x77,1x12x77x77
Add_273,71148,0.00%,308308,0.05%,5929,0.00%,1x12x77x77,1x12x77x77
Reshape_274,0,0.00%,284592,0.04%,0,0.00%,1x12x77x77,12x77x77
Softmax_275,1280664,0.02%,284592,0.04%,0,0.00%,12x77x77,12x77x77
MatMul_276,4553472,0.07%,236544,0.04%,0,0.00%,12x77x77,12x77x64
Reshape_277,0,0.00%,236544,0.04%,0,0.00%,12x77x64,1x12x77x64
Transpose_278,0,0.00%,236544,0.04%,0,0.00%,1x12x77x64,1x77x12x64
Reshape_279,0,0.00%,236544,0.04%,0,0.00%,1x77x12x64,1x77x768
MatMul_280,45416448,0.67%,2595840,0.39%,589824,0.48%,1x77x768,1x77x768
Add_281,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_282,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_283,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_284,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_286,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_287,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_289,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_290,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_291,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Mul_292,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
Add_293,59136,0.00%,239616,0.04%,768,0.00%,1x77x768,1x77x768
MatMul_294,181665792,2.68%,10383360,1.54%,2359296,1.92%,1x77x768,1x77x3072
Add_295,236544,0.00%,958464,0.14%,3072,0.00%,3072,1x77x3072
Mul_297,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Sigmoid_298,3784704,0.06%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
Mul_299,236544,0.00%,946176,0.14%,0,0.00%,1x77x3072,1x77x3072
MatMul_300,181665792,2.68%,9673728,1.44%,2359296,1.92%,1x77x3072,1x77x768
Add_301,59136,0.00%,239616,0.04%,768,0.00%,768,1x77x768
Add_302,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_303,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Sub_304,59136,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
Pow_306,1892352,0.03%,236544,0.04%,0,0.00%,1x77x768,1x77x768
ReduceMean_307,59136,0.00%,308,0.00%,0,0.00%,1x77x768,1x77x1
Add_309,77,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Sqrt_310,308,0.00%,308,0.00%,0,0.00%,1x77x1,1x77x1
Div_311,118272,0.00%,236544,0.04%,0,0.00%,1x77x768,1x77x768
