Name,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
latents,0,0.00%,65536,0.00%,0,0.00%,1x4x64x64,1x4x64x64
Mul_5,16384,0.00%,65536,0.00%,0,0.00%,1x4x64x64,1x4x64x64
Conv_6,81920,0.00%,65616,0.00%,20,0.00%,1x4x64x64,1x4x64x64
Conv_7,77594624,0.01%,8464384,0.04%,18944,0.04%,1x4x64x64,1x512x64x64
Cast_8,0,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Reshape_10,0,0.00%,8388620,0.04%,3,0.00%,1x512x64x64,1x32x65536
InstanceNormalization_13,20971520,0.00%,8388864,0.04%,64,0.00%,1x32x65536,1x32x65536
Shape_14,0,0.00%,16,0.00%,0,0.00%,1x512x64x64,4
Reshape_15,0,0.00%,8388608,0.04%,0,0.00%,1x32x65536,1x512x64x64
Mul_16,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Add_17,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Cast_18,0,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Sigmoid_19,33554432,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Mul_20,2097152,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Conv_21,9665773568,0.76%,17827840,0.08%,2359808,4.77%,1x512x64x64,1x512x64x64
Cast_22,0,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Reshape_24,0,0.00%,8388620,0.04%,3,0.00%,1x512x64x64,1x32x65536
InstanceNormalization_27,20971520,0.00%,8388864,0.04%,64,0.00%,1x32x65536,1x32x65536
Shape_28,0,0.00%,16,0.00%,0,0.00%,1x512x64x64,4
Reshape_29,0,0.00%,8388608,0.04%,0,0.00%,1x32x65536,1x512x64x64
Mul_30,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Add_31,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Cast_32,0,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Sigmoid_33,33554432,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Mul_34,2097152,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Conv_35,9665773568,0.76%,17827840,0.08%,2359808,4.77%,1x512x64x64,1x512x64x64
Add_36,2097152,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Div_38,4194304,0.00%,8388608,0.04%,0,0.00%,1x512x64x64,1x512x64x64
Reshape_40,0,0.00%,8388620,0.04%,3,0.00%,1x512x64x64,1x32x65536
InstanceNormalization_43,20971520,0.00%,8388864,0.04%,64,0.00%,1x32x65536,1x32x65536
Shape_44,0,0.00%,16,0.00%,0,0.00%,1x512x64x64,4
Reshape_45,0,0.00%,8388608,0.04%,0,0.00%,1x32x65536,1x512x64x64
Mul_46,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Add_47,2097152,0.00%,8390656,0.04%,512,0.00%,1x512x64x64,1x512x64x64
Reshape_48,0,0.00%,8388620,0.04%,3,0.00%,1x512x64x64,1x512x4096
Transpose_49,0,0.00%,8388608,0.04%,0,0.00%,1x512x4096,1x4096x512
MatMul_50,1073741824,0.08%,9437184,0.04%,262144,0.53%,1x4096x512,1x4096x512
Add_51,2097152,0.00%,8390656,0.04%,512,0.00%,512,1x4096x512
MatMul_52,1073741824,0.08%,9437184,0.04%,262144,0.53%,1x4096x512,1x4096x512
Add_53,2097152,0.00%,8390656,0.04%,512,0.00%,512,1x4096x512
MatMul_54,1073741824,0.08%,9437184,0.04%,262144,0.53%,1x4096x512,1x4096x512
Add_55,2097152,0.00%,8390656,0.04%,512,0.00%,512,1x4096x512
Reshape_56,0,0.00%,8388624,0.04%,4,0.00%,1x4096x512,1x4096x1x512
Transpose_57,0,0.00%,8388608,0.04%,0,0.00%,1x4096x1x512,1x1x4096x512
Reshape_58,0,0.00%,8388608,0.04%,0,0.00%,1x4096x512,1x4096x1x512
Reshape_59,0,0.00%,8388608,0.04%,0,0.00%,1x4096x512,1x4096x1x512
Transpose_60,0,0.00%,8388608,0.04%,0,0.00%,1x4096x1x512,1x1x4096x512
Mul_62,2097152,0.00%,8388608,0.04%,0,0.00%,1x1x4096x512,1x1x4096x512
Transpose_63,0,0.00%,8388608,0.04%,0,0.00%,1x4096x1x512,1x1x512x4096
Mul_65,2097152,0.00%,8388608,0.04%,0,0.00%,1x1x512x4096,1x1x512x4096
MatMul_66,8589934592,0.68%,67108864,0.32%,0,0.00%,1x1x4096x512,1x1x4096x4096
