Name,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
init_image,0,0.00%,3145728,0.03%,0,0.00%,1x3x512x512,1x3x512x512
Conv_8,939524096,0.17%,134232064,1.13%,3584,0.01%,1x3x512x512,1x128x512x512
Cast_9,0,0.00%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Reshape_11,0,0.00%,134217740,1.13%,3,0.00%,1x128x512x512,1x32x1048576
InstanceNormalization_14,335544320,0.06%,134217984,1.13%,64,0.00%,1x32x1048576,1x32x1048576
Shape_15,0,0.00%,16,0.00%,0,0.00%,1x128x512x512,4
Reshape_16,0,0.00%,134217728,1.13%,0,0.00%,1x32x1048576,1x128x512x512
Mul_17,33554432,0.01%,134218240,1.13%,128,0.00%,1x128x512x512,1x128x512x512
Add_18,33554432,0.01%,134218240,1.13%,128,0.00%,1x128x512x512,1x128x512x512
Cast_19,0,0.00%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Sigmoid_20,536870912,0.09%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Mul_21,33554432,0.01%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Conv_22,38688260096,6.83%,134808064,1.14%,147584,0.43%,1x128x512x512,1x128x512x512
Cast_23,0,0.00%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Reshape_25,0,0.00%,134217740,1.13%,3,0.00%,1x128x512x512,1x32x1048576
InstanceNormalization_28,335544320,0.06%,134217984,1.13%,64,0.00%,1x32x1048576,1x32x1048576
Shape_29,0,0.00%,16,0.00%,0,0.00%,1x128x512x512,4
Reshape_30,0,0.00%,134217728,1.13%,0,0.00%,1x32x1048576,1x128x512x512
Mul_31,33554432,0.01%,134218240,1.13%,128,0.00%,1x128x512x512,1x128x512x512
Add_32,33554432,0.01%,134218240,1.13%,128,0.00%,1x128x512x512,1x128x512x512
Cast_33,0,0.00%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Sigmoid_34,536870912,0.09%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Mul_35,33554432,0.01%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
Conv_36,38688260096,6.83%,134808064,1.14%,147584,0.43%,1x128x512x512,1x128x512x512
Add_37,33554432,0.01%,134217728,1.13%,0,0.00%,1x128x512x512,1x128x512x512
