Name,Sparse Pattern,Sparse Block Ratio,Sparse Ratio,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
input,1x1,0.00%,0.00%,0,0.00%,4915200,0.56%,0,0.00%,1x3x640x640,1x3x640x640
Slice_4,1x1,0.00%,0.00%,0,0.00%,2457616,0.28%,4,0.00%,1x3x640x640,1x3x320x640
Slice_14,1x1,0.00%,0.00%,0,0.00%,2457616,0.28%,4,0.00%,1x3x640x640,1x3x320x640
Slice_24,1x1,0.00%,0.00%,0,0.00%,2457616,0.28%,4,0.00%,1x3x640x640,1x3x320x640
Slice_34,1x1,0.00%,0.00%,0,0.00%,2457616,0.28%,4,0.00%,1x3x640x640,1x3x320x640
Slice_9,1x1,0.00%,0.00%,0,0.00%,1228816,0.14%,4,0.00%,1x3x320x640,1x3x320x320
Slice_19,1x1,0.00%,0.00%,0,0.00%,1228816,0.14%,4,0.00%,1x3x320x640,1x3x320x320
Slice_29,1x1,0.00%,0.00%,0,0.00%,1228816,0.14%,4,0.00%,1x3x320x640,1x3x320x320
Slice_39,1x1,0.00%,0.00%,0,0.00%,1228816,0.14%,4,0.00%,1x3x320x640,1x3x320x320
Concat_40,1x1,0.00%,0.00%,0,0.00%,4915200,0.56%,0,0.00%,1x3x320x320,1x12x320x320
Conv_53_quant,1x1,0.00%,0.00%,357171200,4.05%,13121152,1.49%,3488,0.05%,1x12x320x320,1x32x320x320
DequantizeLinear_61,1x1,0.00%,0.00%,6553600,0.07%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
Add_63,1x1,0.00%,0.00%,3276800,0.04%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
Clip_66,1x1,0.00%,0.00%,6553600,0.07%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
Mul_67,1x1,0.00%,0.00%,3276800,0.04%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
Div_69,1x1,0.00%,0.00%,6553600,0.07%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
QuantizeLinear_72,1x1,0.00%,0.00%,6553600,0.07%,13107200,1.49%,0,0.00%,1x32x320x320,1x32x320x320
Conv_82_quant,4x1,52.92%,52.92%,473497600,5.36%,6627584,0.75%,18496,0.25%,1x32x320x320,1x64x160x160
DequantizeLinear_90,1x1,0.00%,0.00%,3276800,0.04%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
Add_92,1x1,0.00%,0.00%,1638400,0.02%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
Clip_95,1x1,0.00%,0.00%,3276800,0.04%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
Mul_96,1x1,0.00%,0.00%,1638400,0.02%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
Div_98,1x1,0.00%,0.00%,3276800,0.04%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
QuantizeLinear_101,1x1,0.00%,0.00%,3276800,0.04%,6553600,0.74%,0,0.00%,1x64x160x160,1x64x160x160
Conv_111_quant,4x1,47.66%,47.66%,53248000,0.60%,3285120,0.37%,2080,0.03%,1x64x160x160,1x32x160x160
Conv_199_quant,4x1,44.43%,44.43%,53248000,0.60%,3285120,0.37%,2080,0.03%,1x64x160x160,1x32x160x160
DequantizeLinear_119,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
DequantizeLinear_207,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Add_121,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Add_209,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Clip_124,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Clip_212,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Mul_125,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Mul_213,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Div_127,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Div_215,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
QuantizeLinear_130,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
QuantizeLinear_130_dequantized,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Conv_140_quant,4x1,42.48%,42.48%,27033600,0.31%,3281024,0.37%,1056,0.01%,1x32x160x160,1x32x160x160
DequantizeLinear_148,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Add_150,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Clip_153,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Mul_154,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Div_156,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
QuantizeLinear_159,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Conv_169_quant,4x1,51.24%,51.24%,236748800,2.68%,3313792,0.38%,9248,0.13%,1x32x160x160,1x32x160x160
DequantizeLinear_177,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Add_179,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Clip_182,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
Mul_183,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x32x160x160,1x32x160x160
